Unnamed: 0,core,time,section,face,ACorDC,AC_col_sp,DC_col_sp,DC_volt,note,mm_per_encode_step,num_tracks,ACDC_offset,laser_offset,Y_left,Y_right,AC_edgespace,DC_edgespace,idx1_raw,idx1_rel,idx2_rel,idx3_rel,idx_abs,xmin,xmax,header
26,ALHIC2201,2024-03-21-11-05,16_1,r,AC,10,25,1000,,0.25,5,305,-10,36.17714062,100.8722305,18,10,43.40625,0,0,0,13.1,83.4640625,878.240625,22
27,ALHIC2201,2024-03-21-10-54,16_1,r,DC,10,25,1000,,0.25,7,305,-10,36.17714062,100.8722305,18,10,43.40625,0,0,0,13.1,83.4640625,878.240625,22
28,ALHIC2201,2024-03-21-10-06,16_1,t,AC,10,25,1000,,0.25,7,305,-10,16.8275,134.1239062,18,10,19.78125,0,0,0,13.1,62.221875,846.2265625,22
29,ALHIC2201,2024-03-21-09-40,16_1,t,DC,10,25,1000,,0.25,8,305,-10,16.8275,134.1239062,18,10,19.78125,0,0,0,13.1,62.221875,846.2265625,22
30,ALHIC2201,2024-03-21-13-15,18_1,r,AC,10,25,1000,,0.25,5,305,-10,38.47157422,101.3420312,18,10,52.2078125,0,0,0,14.9,81.8015625,849.54375,22
31,ALHIC2201,2024-03-21-13-05,18_1,r,DC,10,25,1000,,0.25,7,305,-10,38.47157422,101.3420312,18,10,52.2078125,0,0,0,14.9,81.8015625,849.54375,22
32,ALHIC2201,2024-03-21-11-30,18_1,t,AC,10,25,1000,,0.25,7,305,-10,19.30896094,138.2335469,18,10,45.4578125,0,0,0,14.9,75.9515625,851.6890625,22
33,ALHIC2201,2024-03-21-11-17,18_1,t,DC,10,25,1000,,0.25,8,305,-10,19.30896094,138.2335469,18,10,45.4578125,0,0,0,14.9,75.9515625,851.6890625,22
34,ALHIC2201,2024-03-21-14-08,19_1,r,AC,10,25,1000,tephra layer around 40cm depth,0.25,6,305,-10,32.50009375,101.4997891,18,10,36.859375,0,0,0,15.73,48.515625,839.7015625,22
35,ALHIC2201,2024-03-21-13-54,19_1,r,DC,10,25,1000,,0.25,8,305,-10,30.48347266,101.5379883,18,10,36.8578125,0,0,0,15.73,48.5046875,839.7234375,22
36,ALHIC2201,2024-03-21-12-00,19_1,t,AC,10,25,1000,,0.25,7,305,-10,21.43075391,136.8296016,18,10,17.2015625,0,0,0,15.73,41.5859375,798.88125,22
37,ALHIC2201,2024-03-21-11-45,19_1,t,DC,10,25,1000,,0.25,8,305,-10,21.43075391,136.8296016,18,10,17.2015625,0,0,0,15.73,41.5859375,798.88125,22
38,ALHIC2201,2024-03-19-10-57,1_1,r,AC,10,25,1000,,0.25,6,332,-10,20.59582812,85.59303906,15,10,83.284375,0,0,0,0,100.2421875,842.371875,22
39,ALHIC2201,2024-03-19-11-12,1_1,r,DC,10,25,1000,,0.25,7,332,-10,22.01912109,84.90297266,15,10,84.1546875,0,0,0,0,98.6421875,843.7546875,22
40,ALHIC2201,2024-03-19-09-52,1_1,t,AC,10,25,1000,trying again,0.25,11,332,-10,8.727777344,119.3229492,15,10,77.615625,0,0,0,0,77.3265625,826.5875,22
